class,sound_id,name,subclass,subclass_label,subclass_size,is_largest_subclass,similarity_to_center,umap_x,umap_y
explosion,245974,Air Canister Short Blasts .wav,1,a noisy distorted blast,114,1,0.4784,-2.7346,3.2457
explosion,256664,aerosol blast,1,a noisy distorted blast,114,1,0.3899,-2.5938,3.3443
explosion,258289,1 Audio Track.aiff,1,a noisy distorted blast,114,1,0.5715,-7.9988,1.6347
explosion,264031,low mid afar explosion 1.wav,0,a single sharp instant crack,86,0,0.8471,-8.3518,-0.4699
explosion,27568,MemoryMoon_space-blaster-plays.wav,1,a noisy distorted blast,114,1,0.3704,-9.3029,2.6394
explosion,31326,blast.wav,1,a noisy distorted blast,114,1,0.4389,-11.0156,3.1008
explosion,31327,blast2.wav,1,a noisy distorted blast,114,1,0.6508,-10.8523,3.2215
explosion,317747,SFX_Explosion_04.wav,1,a noisy distorted blast,114,1,0.7123,-9.7433,3.0133
explosion,317748,SFX_Explosion_03.wav,1,a noisy distorted blast,114,1,0.7015,-9.857,3.1183
explosion,317749,SFX_Explosion_02.wav,1,a noisy distorted blast,114,1,0.8293,-9.6989,2.9825
explosion,317750,SFX_Explosion_01.wav,1,a noisy distorted blast,114,1,0.7939,-9.7391,3.3172
explosion,317751,SFX_Explosion_08.wav,1,a noisy distorted blast,114,1,0.8059,-10.0986,3.1447
explosion,317752,SFX_Explosion_07.wav,1,a noisy distorted blast,114,1,0.8116,-9.7086,2.4945
explosion,317753,SFX_Explosion_06.wav,1,a noisy distorted blast,114,1,0.7691,-10.0856,3.2489
explosion,317754,SFX_Explosion_05.wav,1,a noisy distorted blast,114,1,0.7704,-10.1358,3.4163
explosion,317755,SFX_Explosion_10.wav,1,a noisy distorted blast,114,1,0.7596,-9.7431,2.2405
explosion,317756,SFX_Explosion_09.wav,1,a noisy distorted blast,114,1,0.7725,-10.0869,3.1579
explosion,317758,SFX_Explosion_19.wav,1,a noisy distorted blast,114,1,0.7621,-10.346,3.2857
explosion,317760,SFX_Explosion_17.wav,1,a noisy distorted blast,114,1,0.5988,-10.4726,3.1903
explosion,317761,SFX_Explosion_13.wav,1,a noisy distorted blast,114,1,0.7835,-10.4575,2.3062
explosion,317762,SFX_Explosion_18.wav,1,a noisy distorted blast,114,1,0.698,-10.125,2.4019
explosion,317763,SFX_Explosion_15.wav,1,a noisy distorted blast,114,1,0.8082,-10.4258,2.6608
explosion,317764,SFX_Explosion_16.wav,1,a noisy distorted blast,114,1,0.7971,-10.1821,2.6766
explosion,317765,SFX_Explosion_21.wav,1,a noisy distorted blast,114,1,0.7729,-10.2213,3.5047
explosion,317766,SFX_Explosion_20.wav,1,a noisy distorted blast,114,1,0.6508,-9.8585,2.7306
explosion,317767,SFX_Explosion_14.wav,1,a noisy distorted blast,114,1,0.8069,-10.3093,2.8279
explosion,336004,Sharp Explosion 3 (of 5),0,a single sharp instant crack,86,0,0.6438,-7.2318,-4.0593
explosion,336005,Sharp Explosion 2 (of 5),0,a single sharp instant crack,86,0,0.711,-7.0774,-3.9154
explosion,336006,Sharp Explosion 1 (of 5),0,a single sharp instant crack,86,0,0.6597,-6.8855,-3.784
explosion,336008,Whistle and Explosion Single_Firework,0,a single sharp instant crack,86,0,0.6462,-6.7507,-3.8876
explosion,336009,Sharp Explosion Weird_Natural_reverb,0,a single sharp instant crack,86,0,0.7555,-6.8202,-3.7856
explosion,336010,Sharp Explosion 5 (of 5),0,a single sharp instant crack,86,0,0.7113,-7.1354,-4.096
explosion,336011,Sharp Explosion 4 (of 5),0,a single sharp instant crack,86,0,0.7125,-6.6175,-3.9421
explosion,347310,FUN-EXPLOSION03.wav,0,a single sharp instant crack,86,0,0.5686,-7.7336,1.5743
explosion,347311,FUN-EXPLOSION02.wav,0,a single sharp instant crack,86,0,0.777,-7.6929,1.4899
explosion,347312,FUN-EXPLOSION01.wav,0,a single sharp instant crack,86,0,0.6114,-7.7399,1.6155
explosion,347317,FUN-EXPLOSION04.wav,0,a single sharp instant crack,86,0,0.5605,-7.6686,1.5407
explosion,35458,Explosion 1.wav,1,a noisy distorted blast,114,1,0.7292,-9.1635,-0.1041
explosion,35459,Explosion 2.wav,1,a noisy distorted blast,114,1,0.5755,-10.4386,3.3277
explosion,35460,Explosion 3.wav,1,a noisy distorted blast,114,1,0.7559,-9.0446,-0.0111
explosion,35461,Explosion 4.wav,0,a single sharp instant crack,86,0,0.7673,-9.2073,0.3594
explosion,35462,Explosion 5.wav,0,a single sharp instant crack,86,0,0.8141,-8.7103,0.0709
explosion,35463,Explosion 6.wav,0,a single sharp instant crack,86,0,0.7708,-9.0096,0.1136
explosion,35464,Explosion 7.wav,1,a noisy distorted blast,114,1,0.8029,-9.2727,0.0909
explosion,366091,Huge Explosion Part 1 - Shockwave,1,a noisy distorted blast,114,1,0.5366,-8.5431,0.7194
explosion,369524,Long Decay Explosion (1).wav,0,a single sharp instant crack,86,0,0.5656,-6.8569,-1.8439
explosion,369529,Medium Explosion.wav,0,a single sharp instant crack,86,0,0.7405,-6.7017,-1.8184
explosion,369530,Long Decay Explosion (2).wav,0,a single sharp instant crack,86,0,0.8113,-6.8317,-1.8405
explosion,371120,Blast4,1,a noisy distorted blast,114,1,0.5602,-8.7435,2.3744
explosion,371121,Blast2,1,a noisy distorted blast,114,1,0.6564,-8.6201,1.1968
explosion,371122,Blast3,1,a noisy distorted blast,114,1,0.6812,-8.4364,1.4701
explosion,371123,Blast1,0,a single sharp instant crack,86,0,0.6322,-8.2001,0.7359
explosion,37988,blast.wav,1,a noisy distorted blast,114,1,0.3935,-7.1932,-0.9595
explosion,404754,Retro video game sfx - Explode,1,a noisy distorted blast,114,1,0.8003,-9.8069,3.3754
explosion,404772,Retro video game sfx - Blast off,1,a noisy distorted blast,114,1,0.5211,-9.9538,2.5582
explosion,423111,Guns & Explosions Album - Explosion 2.wav,0,a single sharp instant crack,86,0,0.8468,-7.6517,-0.2358
explosion,43115,Diesel_locomotive_horn.wav,1,a noisy distorted blast,114,1,0.3963,-5.4696,0.3298
explosion,434423,explosion04.wav,1,a noisy distorted blast,114,1,0.7199,-9.9009,-1.5109
explosion,434424,explosion03.wav,1,a noisy distorted blast,114,1,0.7427,-10.1048,-1.5331
explosion,434425,explosion02.wav,1,a noisy distorted blast,114,1,0.7361,-10.2825,-1.4781
explosion,434426,explosion01.wav,1,a noisy distorted blast,114,1,0.7716,-10.1922,-1.603
explosion,434427,explosion08.wav,1,a noisy distorted blast,114,1,0.7862,-9.9094,-1.3987
explosion,434428,explosion07.wav,1,a noisy distorted blast,114,1,0.7666,-10.2455,-1.3281
explosion,434429,explosion06.wav,1,a noisy distorted blast,114,1,0.7998,-10.254,-1.2316
explosion,434430,explosion05.wav,1,a noisy distorted blast,114,1,0.7543,-9.9711,-1.4753
explosion,434431,explosion09.wav,1,a noisy distorted blast,114,1,0.775,-10.3048,-1.4251
explosion,435413,explosion12.wav,1,a noisy distorted blast,114,1,0.6291,-9.9449,1.6787
explosion,435414,explosion11.wav,0,a single sharp instant crack,86,0,0.7248,-9.4091,0.3167
explosion,435415,explosion10.wav,1,a noisy distorted blast,114,1,0.7947,-9.3312,0.4371
explosion,435416,explosion13.wav,1,a noisy distorted blast,114,1,0.6354,-9.2076,3.2053
explosion,435653,Blast Wave,1,a noisy distorted blast,114,1,0.5834,-9.7625,3.0662
explosion,442962,FALLOT_Roxane_2018_2019_Spaceship_blasts.wav,1,a noisy distorted blast,114,1,0.6802,-9.9376,2.023
explosion,446624,explosion2.wav,1,a noisy distorted blast,114,1,0.7739,-10.293,1.8165
explosion,446625,explosion.wav,0,a single sharp instant crack,86,0,0.7769,-8.8471,-0.2236
explosion,447941,Blast + Flamethrower cooldown,1,a noisy distorted blast,114,1,0.6348,-10.2928,-0.894
explosion,472728,IVFX_30.wav,1,a noisy distorted blast,114,1,0.3645,-10.0406,2.4677
explosion,478271,8-Bit Explosion 1_4,1,a noisy distorted blast,114,1,0.3807,12.2411,4.4613
explosion,478272,8-Bit Explosion 1_3,1,a noisy distorted blast,114,1,0.4326,12.1668,4.3873
explosion,478273,8-Bit Explosion 1_2,1,a noisy distorted blast,114,1,0.4966,12.2795,4.5
explosion,478274,8-Bit Explosion 1_1,1,a noisy distorted blast,114,1,0.4164,12.2459,4.4663
explosion,478276,8-Bit Explosion 1_7,1,a noisy distorted blast,114,1,0.4604,12.2427,4.4629
explosion,478277,8-Bit Explosion 1_6,1,a noisy distorted blast,114,1,0.3782,12.3481,4.5683
explosion,478278,8-Bit Explosion 1_5,1,a noisy distorted blast,114,1,0.4173,12.3646,4.5849
explosion,482992,large explosion 2,1,a noisy distorted blast,114,1,0.8343,-9.9341,1.7427
explosion,482993,large explosion 1,1,a noisy distorted blast,114,1,0.8586,-9.7644,1.941
explosion,489428,Muffled Laser Blast,1,a noisy distorted blast,114,1,0.3633,-9.233,-1.2559
explosion,490253,Sci-Fi_Explosion.wav,0,a single sharp instant crack,86,0,0.6286,-9.3414,-1.395
explosion,490255,Sci-Fi_Explosion_1.wav,0,a single sharp instant crack,86,0,0.8089,-7.9908,0.2979
explosion,490266,Sci-Fi_Explosion_2.wav,0,a single sharp instant crack,86,0,0.7823,-8.0649,0.0527
explosion,515866,Soft Shot Gun Laser Blast,0,a single sharp instant crack,86,0,0.5368,-8.251,-2.0243
explosion,517664,8-Bit Cannon.wav,1,a noisy distorted blast,114,1,0.6838,-10.1755,1.6877
explosion,518886,Simple Blast Attack Sound,1,a noisy distorted blast,114,1,0.5014,-8.6251,2.6606
explosion,521490,air_blast_mechanism_small_1_0s.wav,1,a noisy distorted blast,114,1,0.4162,-2.6802,3.1205
explosion,521491,air_blast_big_fast_0_4s.wav,1,a noisy distorted blast,114,1,0.4891,-2.9835,3.1786
explosion,521492,air_blast_big_1_5s.wav,0,a single sharp instant crack,86,0,0.5083,-6.036,-1.4539
explosion,521493,air_blast_Large_1_4s.wav,1,a noisy distorted blast,114,1,0.566,-2.8522,3.0334
explosion,521494,air_blast_piston_small_0_7s.wav,1,a noisy distorted blast,114,1,0.5725,-2.9518,3.0847
explosion,521495,air_blast_piston_1_5s.wav,1,a noisy distorted blast,114,1,0.5123,-2.9566,3.044
explosion,521496,air_blast_med_pneum_1_3s.wav,1,a noisy distorted blast,114,1,0.5571,-2.8681,2.9711
explosion,521497,air_blast_med_double_1_1s.wav,1,a noisy distorted blast,114,1,0.5209,-2.2066,3.4105
explosion,521498,air_blast_small_hi_press_1_5s.wav,1,a noisy distorted blast,114,1,0.575,-2.8236,3.3122
explosion,521499,air_blast_small_fast_0_7s.wav,1,a noisy distorted blast,114,1,0.4477,-2.7198,3.3705
explosion,521500,air_throw_random_broken_valve.wav,1,a noisy distorted blast,114,1,0.3272,-2.0843,3.2946
explosion,521501,air_hiss_tubes_loop.wav,1,a noisy distorted blast,114,1,0.4789,-2.0481,3.0238
explosion,521502,air_hiss_tubes_loop_big.wav,1,a noisy distorted blast,114,1,0.5709,-2.0737,2.9386
explosion,521503,air_hiss_hollow_reverberant2_turbine_loop.wav,1,a noisy distorted blast,114,1,0.2788,-1.9932,2.8606
explosion,521504,air_hiss_cola_smooth_loop.wav,1,a noisy distorted blast,114,1,0.3886,-2.2044,3.2507
explosion,521505,air_hiss_cola_loop.wav,1,a noisy distorted blast,114,1,0.3661,-2.1199,3.3906
explosion,521506,air_hiss_cola.wav,1,a noisy distorted blast,114,1,0.467,-2.7979,3.4532
explosion,521507,air_hiss_steady_loop.wav,1,a noisy distorted blast,114,1,0.3789,-1.9614,2.9847
explosion,521508,air_hiss_small_cryo_loop.wav,1,a noisy distorted blast,114,1,0.4265,-2.0242,3.3004
explosion,521509,air_hiss_pressure_loop.wav,1,a noisy distorted blast,114,1,0.3345,-1.9075,3.2433
explosion,523089,Explosion 1,0,a single sharp instant crack,86,0,0.7438,-7.662,-0.4073
explosion,529025,Anime_explosion_blast_3.wav,0,a single sharp instant crack,86,0,0.7951,-7.8785,0.4901
explosion,530885,Heavy/Big Sci-Fi Cinematic Explosion (w/ Tail),0,a single sharp instant crack,86,0,0.7657,-7.3937,-2.782
explosion,530886,Incoming Artillery Strike Cinematic Explosion,0,a single sharp instant crack,86,0,0.8604,-7.4883,-2.7813
explosion,537909,Raygun Blast 1.mp3,1,a noisy distorted blast,114,1,0.4544,-8.6363,2.41
explosion,537912,Raygun Blast 2 Reverb.mp3,1,a noisy distorted blast,114,1,0.5453,-8.5286,2.4915
explosion,540068,Missile Blast 3,1,a noisy distorted blast,114,1,0.7337,-9.8033,0.7215
explosion,544169,noise blast.wav,1,a noisy distorted blast,114,1,0.4179,-9.754,-0.6245
explosion,547375,Blast.ogg,0,a single sharp instant crack,86,0,0.817,-8.1896,-0.5696
explosion,555063,Missile Blast 2,1,a noisy distorted blast,114,1,0.657,-8.0145,1.8229
explosion,560575,Explosion 4.wav,0,a single sharp instant crack,86,0,0.7918,-7.2028,-3.6759
explosion,560576,Explosion 3.wav,0,a single sharp instant crack,86,0,0.7376,-7.3906,-3.9519
explosion,560577,Explosion 2.wav,0,a single sharp instant crack,86,0,0.8055,-7.4844,-3.8943
explosion,560578,Explosion 6.wav,0,a single sharp instant crack,86,0,0.7487,-7.3716,-4.0169
explosion,560579,Explosion 5.wav,0,a single sharp instant crack,86,0,0.8141,-7.4277,-3.8159
explosion,560580,Explosion 1.wav,0,a single sharp instant crack,86,0,0.7784,-7.268,-3.657
explosion,563010,Explosion.mp3,0,a single sharp instant crack,86,0,0.7379,-8.4978,0.3233
explosion,568877,Self Destruct/Alpha-11 Warhead Explosion,0,a single sharp instant crack,86,0,0.8333,-7.6064,-0.0358
explosion,580040,Gun / Cannon / Explosion,0,a single sharp instant crack,86,0,0.7176,-6.4691,-1.4597
explosion,580892,hit_explosion.wav,0,a single sharp instant crack,86,0,0.6882,-6.8473,-0.9452
explosion,580893,hit_explosion_2.wav,0,a single sharp instant crack,86,0,0.6739,-6.6715,-0.9994
explosion,582462,laser blast 3.flac,1,a noisy distorted blast,114,1,0.6383,-9.991,1.0811
explosion,582463,laser blast 2.flac,1,a noisy distorted blast,114,1,0.6743,-9.9905,0.8697
explosion,587444,Explosion / Gun - 2,0,a single sharp instant crack,86,0,0.7147,-6.3225,-2.2905
explosion,587445,Explosion / Gun,0,a single sharp instant crack,86,0,0.6863,-6.3031,-2.2683
explosion,587886,Explosion large,0,a single sharp instant crack,86,0,0.8439,-6.5076,-2.3422
explosion,587887,Explosion in a can,0,a single sharp instant crack,86,0,0.6692,-6.5222,-2.2687
explosion,591842,Train Horn 48 (Short).mp3,1,a noisy distorted blast,114,1,0.3364,-5.3696,0.2596
explosion,591998,Huge explosion,0,a single sharp instant crack,86,0,0.813,-6.7216,-2.3038
explosion,609587,"Grenade Explosion SFX (medium-sized, meaty, realistic)",0,a single sharp instant crack,86,0,0.7924,-6.5771,-2.5241
explosion,621000,Cannon explosion sound,0,a single sharp instant crack,86,0,0.8365,-6.346,-2.1752
explosion,621001,Cannon explosion sound 2,0,a single sharp instant crack,86,0,0.8369,-6.4098,-2.1099
explosion,621002,Cannon explosion sound 3,0,a single sharp instant crack,86,0,0.8478,-6.4699,-1.9174
explosion,621003,Cannon explosion sound 4,0,a single sharp instant crack,86,0,0.8506,-6.4433,-2.0675
explosion,645844,Smoke_Machine_Blast_Long.wav,1,a noisy distorted blast,114,1,0.4946,-11.0558,3.0834
explosion,647667,Train Horn passenger - long blast (Electric Multiple Unit).mp3,1,a noisy distorted blast,114,1,0.3289,-5.4267,0.2445
explosion,647668,Train Horn passenger - long blast (InterCity Express).wav,1,a noisy distorted blast,114,1,0.3638,-5.3872,0.2566
explosion,658743,Bang Blast.ogg,0,a single sharp instant crack,86,0,0.6274,-9.0586,-1.4528
explosion,660463,Energy blast,1,a noisy distorted blast,114,1,0.5295,-11.0058,2.9967
explosion,662013,Divine Blast,1,a noisy distorted blast,114,1,0.5181,-9.9892,2.3128
explosion,663057,loudthump.wav,1,a noisy distorted blast,114,1,0.4982,-8.9981,-1.5786
explosion,683477,Rifle Blast SFX.wav,0,a single sharp instant crack,86,0,0.5321,-7.402,-1.6116
explosion,69178,Mine Blasts (2).wav,0,a single sharp instant crack,86,0,0.7662,-7.041,-1.0896
explosion,699450,Shotgun - Rode NT1A.wav,0,a single sharp instant crack,86,0,0.5886,-6.5562,-1.1304
explosion,699451,Shotgun - Shure SM57.wav,0,a single sharp instant crack,86,0,0.5602,-6.7414,-0.9248
explosion,699452,Shotgun - Sennheiser MKH50.wav,0,a single sharp instant crack,86,0,0.5778,-6.5373,-1.1164
explosion,727273,Laser- Blast-1A,1,a noisy distorted blast,114,1,0.6458,-8.966,3.0293
explosion,750822,custom_short_explosion_impact_sound,0,a single sharp instant crack,86,0,0.6957,-7.5438,0.4137
explosion,753843,Explosion Outdoors (Medium),0,a single sharp instant crack,86,0,0.8349,-7.2678,-3.2286
explosion,783986,Laser Beam Firing,1,a noisy distorted blast,114,1,0.5902,-9.1279,3.1524
explosion,784205,Cartoon Explosion (designed on cassette tape lol),0,a single sharp instant crack,86,0,0.7784,-7.7109,-0.2029
explosion,803771,whoosh 1 long,1,a noisy distorted blast,114,1,0.8227,-9.2668,1.1245
explosion,804681,PLASMA IMPACT ONE,1,a noisy distorted blast,114,1,0.4528,-9.654,1.0274
explosion,804682,PLASMA IMPACT TWO,1,a noisy distorted blast,114,1,0.4425,-9.5766,1.1156
explosion,805113,"TOONMisc_Whip Cream Blast, Comical_Nicholas Judy_TDC",1,a noisy distorted blast,114,1,0.3417,-8.3456,2.2856
explosion,810976,"TOOLPneu-Samsung Galaxy Smartphone_Nail Gun, Burst 01_Nicholas Judy_TDC",0,a single sharp instant crack,86,0,0.6121,-6.3702,-1.4403
explosion,81103,Blast Revisited.wav,0,a single sharp instant crack,86,0,0.6456,-7.8796,0.4545
explosion,814044,Creation Magic Blast,1,a noisy distorted blast,114,1,0.4924,-8.2449,0.8837
explosion,814049,Ion Cannon,1,a noisy distorted blast,114,1,0.6968,-8.3553,0.9442
explosion,814052,Retro Bit Explosion,0,a single sharp instant crack,86,0,0.794,-8.9998,-0.2043
explosion,815440,EXPLMisc-CU_Explosion_Nicholas Judy_TDC,0,a single sharp instant crack,86,0,0.7848,-8.2386,-1.4407
explosion,825999,bassy_explosion_sound_01_09082025,0,a single sharp instant crack,86,0,0.6626,-7.429,0.2529
explosion,828566,MagicSpellBlast,1,a noisy distorted blast,114,1,0.4799,-8.54,0.8798
explosion,838986,FX Laser Blast with Low Frequency Tone,1,a noisy distorted blast,114,1,0.2532,-9.782,1.2298
explosion,844128,custom_medium_explosion_sound_02032026,0,a single sharp instant crack,86,0,0.8313,-7.5661,0.1816
explosion,863981,Tire Bead Seater Air Blast,0,a single sharp instant crack,86,0,0.5829,-7.2715,-3.2375
explosion,9565,industrial_blast06.aif,0,a single sharp instant crack,86,0,0.7371,-8.9516,-0.7469
footstep,117628,footsteps on stone patio 1.wav,2,repeated rhythmic steps,29,0,0.8196,6.105,7.9714
footstep,146700,0053 Birds_and_footsteps,1,a long sustained shattering with debris,35,1,0.4939,13.9166,11.0316
footstep,148796,"Footsteps, Solid Wood, Female Socks, Jumping.wav",2,repeated rhythmic steps,29,0,0.757,6.4599,8.2059
footstep,151222,Hard Female Footstep (4),2,repeated rhythmic steps,29,0,0.7518,6.5814,8.56
footstep,151228,Grassy Footstep 3,5,a crunchy gritty texture,21,0,0.7576,12.0601,11.0349
footstep,151229,Grassy Footstep 2,5,a crunchy gritty texture,21,0,0.7761,12.0396,11.0839
footstep,151230,Grassy Footstep 1,5,a crunchy gritty texture,21,0,0.7162,12.0127,11.0491
footstep,151232,Hard Female Footstep (1),2,repeated rhythmic steps,29,0,0.7558,6.5917,8.704
footstep,151235,Grassy Footstep 4,5,a crunchy gritty texture,21,0,0.7054,12.0479,10.9479
footstep,151237,Hard Female Footstep (3),2,repeated rhythmic steps,29,0,0.8107,6.4883,8.5711
footstep,151238,Hard Female Footstep (2),2,repeated rhythmic steps,29,0,0.7603,6.7238,8.8388
footstep,166502,chainlink fence footstep 4,4,a noisy distorted blast,14,0,0.7653,7.6014,11.6184
footstep,166503,chainlink fence footstep 3,4,a noisy distorted blast,14,0,0.7092,7.3828,11.5534
footstep,166504,chainlink fence footstep 2,4,a noisy distorted blast,14,0,0.7412,7.5225,11.5976
footstep,166505,chainlink fence footstep 1,4,a noisy distorted blast,14,0,0.7355,7.4371,11.6525
footstep,166506,concrete footstep 4,6,a dry organic recorded thud,31,0,0.8268,9.028,10.7526
footstep,166507,concrete footstep 3,6,a dry organic recorded thud,31,0,0.8794,8.6689,10.6904
footstep,166508,concrete footstep 2,6,a dry organic recorded thud,31,0,0.8265,8.8597,10.5311
footstep,166509,concrete footstep 1,6,a dry organic recorded thud,31,0,0.8787,8.71,10.5053
footstep,166510,dirt/gravel footstep 2,6,a dry organic recorded thud,31,0,0.8179,9.88,9.9945
footstep,166511,dirt/gravel footstep 1,6,a dry organic recorded thud,31,0,0.8529,9.4223,10.0801
footstep,194978,footsteps on metal .mp3,2,repeated rhythmic steps,29,0,0.6548,5.725,8.0486
footstep,194991,splashing footsteps1.mp3,1,a long sustained shattering with debris,35,1,0.5349,13.3496,11.0914
footstep,194993,splashing footsteps.mp3,1,a long sustained shattering with debris,35,1,0.728,13.5416,10.9371
footstep,209472,footsteps_down_stairs_5.WAV,2,repeated rhythmic steps,29,0,0.7424,5.4969,8.2446
footstep,209474,footsteps_down_stairs_3.WAV,2,repeated rhythmic steps,29,0,0.7294,5.6093,8.311
footstep,223152,glass footstep 1,0,a deep low boom or rumble,19,0,0.695,8.2259,10.7065
footstep,223153,dirt/gravel footstep 4,6,a dry organic recorded thud,31,0,0.8918,8.8765,10.9527
footstep,223154,dirt/gravel footstep 3,6,a dry organic recorded thud,31,0,0.7632,10.0009,9.9024
footstep,234263,Footsteps - Wood,3,a short clean tap or click,19,0,0.7841,7.341,7.7198
footstep,340205,FootstepHardwood04.wav,2,repeated rhythmic steps,29,0,0.8355,6.2294,8.6925
footstep,340206,FootstepHardwood03.wav,2,repeated rhythmic steps,29,0,0.8271,6.2829,8.8233
footstep,340209,FootstepsCarptet02.wav,2,repeated rhythmic steps,29,0,0.8205,6.0373,8.6647
footstep,340210,FootstepWoodCreak03.wav,2,repeated rhythmic steps,29,0,0.6303,5.8869,8.8376
footstep,340217,SimpleTileFootstepLoop.wav,2,repeated rhythmic steps,29,0,0.7804,5.8247,8.7241
footstep,340223,SimpleFootstepsHardwood.wav,2,repeated rhythmic steps,29,0,0.879,5.8467,8.6363
footstep,340224,SimpleFootstepsWoodCreak.wav,2,repeated rhythmic steps,29,0,0.6596,5.8068,9.0765
footstep,340983,Footstep on wood,2,repeated rhythmic steps,29,0,0.533,6.3459,8.7982
footstep,384421,Footstep in the snow_03 [RAW],6,a dry organic recorded thud,31,0,0.7427,9.8632,11.2188
footstep,384422,Footstep in the snow_02 [RAW],6,a dry organic recorded thud,31,0,0.8201,9.7236,11.0854
footstep,384423,Footstep in the snow_01 [RAW],6,a dry organic recorded thud,31,0,0.7674,9.7486,11.1195
footstep,384424,Footstep in the snow_04 [RAW],6,a dry organic recorded thud,31,0,0.8842,9.5998,10.9745
footstep,384635,Concrete Footstep 1.wav,6,a dry organic recorded thud,31,0,0.8665,9.1645,11.2965
footstep,384636,Carpet Footstep 3.wav,0,a deep low boom or rumble,19,0,0.7596,9.0602,10.3363
footstep,384637,Carpet Footstep 2.wav,6,a dry organic recorded thud,31,0,0.7983,8.8411,10.5881
footstep,384638,Carpet Footstep 1.wav,0,a deep low boom or rumble,19,0,0.625,9.0731,10.3044
footstep,384639,Earth Footstep 2.wav,6,a dry organic recorded thud,31,0,0.852,9.0698,10.8579
footstep,384640,Earth Footstep 1.wav,6,a dry organic recorded thud,31,0,0.872,9.8812,10.6585
footstep,384641,Concrete Footstep 3.wav,6,a dry organic recorded thud,31,0,0.8302,9.2758,10.7426
footstep,384642,Concrete Footstep 2.wav,6,a dry organic recorded thud,31,0,0.902,9.3174,11.0465
footstep,384643,Grass Footstep 1.wav,6,a dry organic recorded thud,31,0,0.8455,9.7256,10.4264
footstep,384644,Earth Footstep 3.wav,6,a dry organic recorded thud,31,0,0.8329,9.0044,11.0871
footstep,384645,Wood Footstep 2.wav,6,a dry organic recorded thud,31,0,0.7859,8.7614,11.3152
footstep,384646,Wood Footstep 3.wav,4,a noisy distorted blast,14,0,0.7756,8.4544,11.2915
footstep,384647,Sludge Footstep 3.wav,6,a dry organic recorded thud,31,0,0.6168,10.3172,10.9541
footstep,384648,Wood Footstep 1.wav,6,a dry organic recorded thud,31,0,0.9058,8.7468,10.9436
footstep,384649,Metal Footstep 2.wav,4,a noisy distorted blast,14,0,0.8091,8.0895,11.628
footstep,384650,Metal Footstep 1.wav,4,a noisy distorted blast,14,0,0.6514,7.8181,11.6907
footstep,384651,Grass Footstep 3.wav,6,a dry organic recorded thud,31,0,0.7741,9.8372,10.5692
footstep,384652,Grass Footstep 2.wav,6,a dry organic recorded thud,31,0,0.8261,9.6697,10.655
footstep,384653,Rubbish Footstep 3.wav,4,a noisy distorted blast,14,0,0.718,8.1949,11.4966
footstep,384654,Rubbish Footstep 2.wav,4,a noisy distorted blast,14,0,0.789,8.268,11.6333
footstep,384655,Rubbish Footstep 1.wav,4,a noisy distorted blast,14,0,0.6695,8.3448,11.5948
footstep,384656,Metal Footstep 3.wav,4,a noisy distorted blast,14,0,0.8441,7.918,11.6499
